,scm,model,seed,epoch,ESP,FR,ESS,ESE,LL
0,simpson_nlin,gmm,0,0,0.0,1.0,,,-5.7150139808654785
1,simpson_nlin,gmm,0,9,4.492187508731149e-05,1.0,,,1.2543389797210693
2,simpson_nlin,gmm,0,19,0.00026953124324791133,0.9990234375,7.529520034790039,-4.0135602951049805,2.44140625
3,simpson_nlin,gmm,0,29,0.002384765772148967,0.9345703125,7.634384632110596,-7.7142558097839355,3.7635669708251953
4,simpson_nlin,gmm,0,39,0.0003466797061264515,1.0,,,3.907691240310669
5,simpson_nlin,gmm,0,49,0.0011044922284781933,0.982421875,7.156899452209473,-6.165492057800293,5.079243183135986
6,simpson_nlin,gmm,0,59,0.00922070350497961,0.6845703125,7.024903774261475,-10.77564811706543,6.873518943786621
7,simpson_nlin,gmm,0,69,0.01478125061839819,0.5595703125,6.103780746459961,-11.530171394348145,7.8163275718688965
8,simpson_nlin,gmm,0,79,0.009485352784395218,0.671875,6.25360107421875,-10.91618537902832,6.808053493499756
9,simpson_nlin,gmm,0,89,0.014205077663064003,0.5966796875,5.052198886871338,-12.87214183807373,8.305275917053223
10,simpson_nlin,gmm,0,99,0.014842774718999863,0.591796875,6.291619300842285,-13.10718059539795,8.530572891235352
11,simpson_nlin,gmm,0,109,0.01499902456998825,0.5849609375,4.561161518096924,-13.48947525024414,8.766759872436523
12,simpson_nlin,gmm,0,119,0.015815429389476776,0.5830078125,5.709000110626221,-14.339472770690918,9.225973129272461
13,simpson_nlin,gmm,0,129,0.016191408038139343,0.5849609375,5.874860763549805,-14.598821640014648,9.426074028015137
14,simpson_nlin,gmm,0,139,0.01631738245487213,0.58203125,6.186448097229004,-15.059234619140625,9.822257995605469
15,simpson_nlin,gmm,0,149,0.016429688781499863,0.572265625,5.299511432647705,-15.11070728302002,9.806023597717285
16,simpson_nlin,gmm,0,159,0.016423828899860382,0.576171875,5.753399848937988,-15.36625862121582,9.935482025146484
17,simpson_nlin,gmm,0,169,0.0165097676217556,0.5751953125,5.920954704284668,-15.469010353088379,10.111836433410645
18,simpson_nlin,gmm,0,179,0.016230467706918716,0.5791015625,5.4141740798950195,-15.653643608093262,10.072559356689453
19,simpson_nlin,gmm,0,189,0.016313478350639343,0.5654296875,5.783974647521973,-15.567011833190918,10.15363883972168
20,simpson_nlin,gmm,0,199,0.016202149912714958,0.5771484375,6.263986587524414,-15.688732147216797,10.23077392578125
21,simpson_nlin,gmm,7,0,0.0,1.0,,,-5.7166008949279785
22,simpson_nlin,gmm,7,9,0.00018652343715075403,0.9990234375,5.932677745819092,-4.055095195770264,1.561715841293335
23,simpson_nlin,gmm,7,19,0.0055976565927267075,0.814453125,10.334721565246582,-8.748766899108887,4.847200870513916
24,simpson_nlin,gmm,7,29,0.010584961622953415,0.62890625,7.581543922424316,-9.778621673583984,5.6073479652404785
25,simpson_nlin,gmm,7,39,0.00043066407670266926,0.99609375,7.021904945373535,-7.879861354827881,7.135287284851074
26,simpson_nlin,gmm,7,49,0.01916211098432541,0.474609375,6.074981212615967,-12.282160758972168,8.326080322265625
27,simpson_nlin,gmm,7,59,0.016507811844348907,0.529296875,5.445567607879639,-12.774404525756836,8.659643173217773
28,simpson_nlin,gmm,7,69,0.02247656136751175,0.4599609375,6.861204147338867,-13.589962005615234,9.797844886779785
29,simpson_nlin,gmm,7,79,0.02232910320162773,0.45703125,6.685952663421631,-13.866120338439941,10.050721168518066
30,simpson_nlin,gmm,7,89,0.022974610328674316,0.4580078125,5.86106014251709,-14.332695007324219,10.22469425201416
31,simpson_nlin,gmm,7,99,0.021858399733901024,0.4619140625,5.288917064666748,-13.820672035217285,9.589373588562012
32,simpson_nlin,gmm,7,109,0.016163086518645287,0.5234375,3.9719457626342773,-13.860628128051758,9.161799430847168
33,simpson_nlin,gmm,7,119,0.015856444835662842,0.490234375,6.876718044281006,-13.088287353515625,9.296475410461426
34,simpson_nlin,gmm,7,129,0.01708984561264515,0.47265625,6.609488487243652,-13.520563125610352,9.503212928771973
35,simpson_nlin,gmm,7,139,0.017916016280651093,0.47265625,6.7843546867370605,-13.71552562713623,9.631790161132812
36,simpson_nlin,gmm,7,149,0.017878906801342964,0.4716796875,6.3649091720581055,-13.800271987915039,9.651666641235352
37,simpson_nlin,gmm,7,159,0.0181269533932209,0.4638671875,6.981326103210449,-13.76219367980957,9.699920654296875
38,simpson_nlin,gmm,7,169,0.018040038645267487,0.46484375,6.542470455169678,-13.809829711914062,9.667203903198242
39,simpson_nlin,gmm,7,179,0.01784668117761612,0.47265625,6.6259446144104,-13.815403938293457,9.672163963317871
40,simpson_nlin,gmm,7,189,0.01796581968665123,0.4755859375,6.778038501739502,-13.869595527648926,9.708633422851562
41,simpson_nlin,gmm,7,199,0.01795605570077896,0.470703125,6.690173625946045,-13.775938034057617,9.669713973999023
42,simpson_nlin,gmm,42,0,0.0,1.0,,,-5.746713161468506
43,simpson_nlin,gmm,42,9,0.0004384765634313226,0.998046875,9.410602569580078,-5.939233779907227,3.152405023574829
44,simpson_nlin,gmm,42,19,0.0004384765634313226,0.9990234375,6.79290246963501,-4.239831447601318,2.281223773956299
45,simpson_nlin,gmm,42,29,0.0015117188449949026,0.96875,5.9734344482421875,-8.93130874633789,4.857517242431641
46,simpson_nlin,gmm,42,39,0.012708008289337158,0.6142578125,7.2558159828186035,-10.530303001403809,7.204298973083496
47,simpson_nlin,gmm,42,49,0.017390623688697815,0.58203125,6.155495643615723,-11.938654899597168,8.683878898620605
