,item,scm,q,ci95,bias
0,rs_o,fairness,ate,0.012523941358078536,0.005248792265622391
1,rs_o,fairness,ett,0.01848490723968208,0.0075412569952578315
2,rs_o,fairness,nde,0.015041572593565764,0.007550468449447879
3,rs_o,fairness,ctfde,0.020319157986294554,0.008331458153675877
4,rs_o,fairness_xw,ate,0.013495131838899959,0.006274816791188371
5,rs_o,fairness_xw,ett,0.02674928879478793,0.011417411598049557
6,rs_o,fairness_xw,nde,0.013488405726830256,0.00588598437911938
7,rs_o,fairness_xw,ctfde,0.02286908290976366,0.009783421370299044
8,rs_o,fairness_xy,ate,0.014809759334042258,0.005693974833575204
9,rs_o,fairness_xy,ett,0.022404998730818734,0.010126454150195112
10,rs_o,fairness_xy,nde,0.01477158593895854,0.006675214434841001
11,rs_o,fairness_xy,ctfde,0.022561448934276005,0.009531738608626907
12,rs_o,fairness_yw,ate,0.011727133322782727,0.004550805275850707
13,rs_o,fairness_yw,ett,0.024530611417921528,0.010070678997949245
14,rs_o,fairness_yw,nde,0.014824202657654653,0.006769577625307032
15,rs_o,fairness_yw,ctfde,0.02677975891769088,0.011147487147431665
16,rs_p,fairness,ate,0.013050606085550188,0.00566576086053548
17,rs_p,fairness,ett,0.0206527056141946,0.008475661733974613
18,rs_p,fairness,nde,0.013952837533952383,0.006121052544081554
19,rs_p,fairness,ctfde,0.023114184154067487,0.010000561494428519
20,rs_p,fairness_xw,ate,0.012276950717444248,0.005115337420454615
21,rs_p,fairness_xw,ett,0.030945650038395722,0.016863180030436388
22,rs_p,fairness_xw,nde,0.012664658562322675,0.005371044098796308
23,rs_p,fairness_xw,ctfde,0.031336123609339475,0.016826057668982312
24,rs_p,fairness_xy,ate,0.012161676846637076,0.005254312892210674
25,rs_p,fairness_xy,ett,0.02105901203430239,0.008534223414529276
26,rs_p,fairness_xy,nde,0.014433427072688933,0.005855520049050408
27,rs_p,fairness_xy,ctfde,0.018692648622746576,0.008254507493952113
28,rs_p,fairness_yw,ate,0.0223564635379672,0.012207828129110004
29,rs_p,fairness_yw,ett,0.035234488224038185,0.016597424583736697
30,rs_p,fairness_yw,nde,0.016623762542905866,0.008509601743408613
31,rs_p,fairness_yw,ctfde,0.029407556383703348,0.01355249135711964
32,maf_o,fairness,ate,0.09468028963057631,0.03765610734050112
33,maf_o,fairness,ett,0.16792523202859322,0.057095827721530795
34,maf_o,fairness,nde,0.1314913922844912,0.044426057322141055
35,maf_o,fairness,ctfde,0.16057739693983197,0.06139190481923015
36,maf_o,fairness_xw,ate,0.14024491263756858,0.04660633459240882
37,maf_o,fairness_xw,ett,0.2131858584336719,0.07273764029885854
38,maf_o,fairness_xw,nde,0.1486473189903598,0.05055353501645705
39,maf_o,fairness_xw,ctfde,0.24410376515598842,0.07245055567783118
40,maf_o,fairness_xy,ate,0.18913098064039569,0.04780922405600685
41,maf_o,fairness_xy,ett,0.25660692991797596,0.09115306429421216
42,maf_o,fairness_xy,nde,0.10018186542944175,0.0415257631209921
43,maf_o,fairness_xy,ctfde,0.33806135136774157,0.13298453592375983
44,maf_o,fairness_yw,ate,0.10595951705884371,0.03561199533389379
45,maf_o,fairness_yw,ett,0.36251114783054067,0.09520808189693833
46,maf_o,fairness_yw,nde,0.18126271853099088,0.04931286426214405
47,maf_o,fairness_yw,ctfde,0.39626384416821664,0.1263356102742489
48,maf_p,fairness,ate,0.013277898434906704,0.005292426057577596
49,maf_p,fairness,ett,0.024447349417277258,0.00898217545632345
50,maf_p,fairness,nde,0.012967091298743913,0.005261802995756662
51,maf_p,fairness,ctfde,0.04433620395024515,0.010920575594068564
52,maf_p,fairness_xw,ate,0.010657541905544268,0.00469916640135888
53,maf_p,fairness_xw,ett,0.028395476837221066,0.019426032218224615
54,maf_p,fairness_xw,nde,0.011351164313427359,0.004897240600140188
55,maf_p,fairness_xw,ctfde,0.03061411925325021,0.013862750321946466
56,maf_p,fairness_xy,ate,0.00924066654007792,0.0038115887880441715
57,maf_p,fairness_xy,ett,0.020137627381079628,0.009329977605885166
58,maf_p,fairness_xy,nde,0.012534863321972433,0.004572904072930897
59,maf_p,fairness_xy,ctfde,0.02851753187141066,0.00865272428923632
60,maf_p,fairness_yw,ate,0.02576030907991022,0.01236197480363038
61,maf_p,fairness_yw,ett,0.028025341266281912,0.013671898471067756
62,maf_p,fairness_yw,nde,0.023797610924655502,0.011972608449925428
63,maf_p,fairness_yw,ctfde,0.031469434129344685,0.013350875265391896
64,nice_o,fairness,ate,0.01771255957217743,0.007396935433678835
65,nice_o,fairness,ett,0.029522705563073463,0.011854807712036371
66,nice_o,fairness,nde,0.020399745667659997,0.008851040164495508
67,nice_o,fairness,ctfde,0.03918117258968278,0.014554087250355114
68,nice_o,fairness_xw,ate,0.05950245719055019,0.011488074849049165
69,nice_o,fairness_xw,ett,0.03618968824531171,0.017031004158563547
70,nice_o,fairness_xw,nde,0.05616384207654898,0.019901380055954418
71,nice_o,fairness_xw,ctfde,0.06912533956989379,0.038973323703581274
72,nice_o,fairness_xy,ate,0.019211617005339434,0.00794793825272062
73,nice_o,fairness_xy,ett,0.11106707138712911,0.030232156039015717
74,nice_o,fairness_xy,nde,0.06571022966030658,0.04521925193827772
75,nice_o,fairness_xy,ctfde,0.14361649083371078,0.05289732005578076
76,nice_o,fairness_yw,ate,0.1288232387476895,0.027367425436648374
77,nice_o,fairness_yw,ett,0.12419451279477406,0.04720032971012415
78,nice_o,fairness_yw,nde,0.14992489695692068,0.06138978139647323
79,nice_o,fairness_yw,ctfde,0.3435267129954696,0.11435259164896876
80,nice_p,fairness,ate,0.016515023331961497,0.0054211715506465915
81,nice_p,fairness,ett,0.021047815089470547,0.00841035738001081
82,nice_p,fairness,nde,0.012174525157842602,0.0052781247677962904
83,nice_p,fairness,ctfde,0.021550324801232628,0.008567115643215606
84,nice_p,fairness_xw,ate,0.012221290575663499,0.005053467582860893
85,nice_p,fairness_xw,ett,0.02944706610740496,0.016668067343956993
86,nice_p,fairness_xw,nde,0.013611956931556254,0.005627619001741218
87,nice_p,fairness_xw,ctfde,0.030714419797097325,0.012599239847291907
88,nice_p,fairness_xy,ate,0.013175671593289962,0.005000982180204131
89,nice_p,fairness_xy,ett,0.022177588038751805,0.009198929204977476
90,nice_p,fairness_xy,nde,0.010789034094341256,0.0043461663494506145
91,nice_p,fairness_xy,ctfde,0.0541678805538667,0.01140194224947844
92,nice_p,fairness_yw,ate,0.022310665918909615,0.01030495739336914
93,nice_p,fairness_yw,ett,0.03281835967757245,0.012938668332098863
94,nice_p,fairness_yw,nde,0.017511977463651043,0.00937810208355937
95,nice_p,fairness_yw,ctfde,0.030857475506295435,0.013077468658346142
